Index,BRK-B.Open,BRK-B.High,BRK-B.Low,BRK-B.Close,BRK-B.Volume,BRK-B.Adjusted
2016-09-02,150.690002441406,151.050003051758,149.970001220703,150.720001220703,2258200,150.720001220703
2016-09-06,150.539993286133,150.979995727539,149.309997558594,150.429992675781,4460800,150.429992675781
2016-09-07,150,150.490005493164,149.339996337891,149.580001831055,2437100,149.580001831055
2016-09-08,149.600006103516,150.100006103516,149.300003051758,149.779998779297,2963400,149.779998779297
2016-09-09,149.100006103516,149.589996337891,146.559997558594,146.619995117188,4342700,146.619995117188
2016-09-12,146.369995117188,149.389999389648,145.940002441406,148.970001220703,4323800,148.970001220703
2016-09-13,147.949996948242,148.130004882812,145.550003051758,146.229995727539,5505900,146.229995727539
2016-09-14,146.020004272461,146.910003662109,145.330001831055,145.779998779297,3097300,145.779998779297
2016-09-15,146,147.080001831055,145.470001220703,146.660003662109,3255500,146.660003662109
2016-09-16,146.110000610352,146.229995727539,144.679992675781,145.009994506836,11133700,145.009994506836
2016-09-19,145.339996337891,146.190002441406,144.929992675781,145.240005493164,3031800,145.240005493164
2016-09-20,145.979995727539,145.979995727539,144.759994506836,144.919998168945,2367000,144.919998168945
2016-09-21,145.649993896484,146.490005493164,144.979995727539,146.460006713867,3768900,146.460006713867
2016-09-22,146.75,147.089996337891,146.130004882812,146.529998779297,2770900,146.529998779297
2016-09-23,146.300003051758,146.490005493164,145,145,3697800,145
2016-09-26,144.520004272461,144.960006713867,144,144.179992675781,2863700,144.179992675781
2016-09-27,144.279998779297,145.380004882812,144.009994506836,145.339996337891,2934600,145.339996337891
2016-09-28,145.279998779297,145.419998168945,144.029998779297,145.279998779297,3246500,145.279998779297
2016-09-29,145.179992675781,145.520004272461,143.360000610352,143.589996337891,3313800,143.589996337891
2016-09-30,144.270004272461,145.380004882812,144.270004272461,144.470001220703,4416500,144.470001220703
2016-10-03,144.270004272461,144.309997558594,143.210006713867,143.759994506836,3493800,143.759994506836
2016-10-04,143.740005493164,144.199996948242,142.800003051758,143.169998168945,3058900,143.169998168945
2016-10-05,143.649993896484,144.289993286133,143.210006713867,144.149993896484,2998800,144.149993896484
2016-10-06,144,144.100006103516,143.300003051758,143.869995117188,2279500,143.869995117188
2016-10-07,143.929992675781,144.940002441406,143.779998779297,144.520004272461,3093800,144.520004272461
2016-10-10,145.050003051758,145.679992675781,144.979995727539,145.199996948242,1884100,145.199996948242
2016-10-11,145.130004882812,145.139999389648,143.529998779297,143.949996948242,2723000,143.949996948242
2016-10-12,143.860000610352,145.289993286133,143.860000610352,144.910003662109,2558100,144.910003662109
2016-10-13,143.789993286133,144.050003051758,141.919998168945,143.220001220703,4657600,143.220001220703
2016-10-14,143.910003662109,144.889999389648,143.580001831055,144.179992675781,2932800,144.179992675781
2016-10-17,144.5,144.759994506836,143.369995117188,143.800003051758,2552800,143.800003051758
2016-10-18,144.649993896484,145.089996337891,144.130004882812,144.300003051758,2378500,144.300003051758
2016-10-19,144.869995117188,145.710006713867,144.479995727539,144.860000610352,2309300,144.860000610352
2016-10-20,144.619995117188,145.429992675781,144.190002441406,144.490005493164,2505000,144.490005493164
2016-10-21,143.539993286133,143.949996948242,142.800003051758,143.600006103516,3075400,143.600006103516
2016-10-24,144.089996337891,144.889999389648,143.679992675781,143.830001831055,2223800,143.830001831055
2016-10-25,143.699996948242,144.160003662109,143.210006713867,143.419998168945,2349500,143.419998168945
2016-10-26,143.380004882812,144.460006713867,143.119995117188,143.940002441406,2769700,143.940002441406
2016-10-27,144.190002441406,144.779998779297,143.869995117188,144.449996948242,2914800,144.449996948242
2016-10-28,144.839996337891,145.289993286133,142.899993896484,144,2789900,144
2016-10-31,144.300003051758,144.690002441406,144,144.300003051758,3229500,144.300003051758
2016-11-01,144.679992675781,144.860000610352,143.110000610352,143.630004882812,3339400,143.630004882812
2016-11-02,143.179992675781,143.860000610352,142.910003662109,143.190002441406,3178500,143.190002441406
2016-11-03,143.25,144.449996948242,143.199996948242,143.639999389648,2691800,143.639999389648
2016-11-04,143.449996948242,143.800003051758,142.350006103516,142.949996948242,3493300,142.949996948242
2016-11-07,144.710006713867,147.169998168945,144.300003051758,146.910003662109,5236000,146.910003662109
2016-11-08,146.889999389648,148.139999389648,146.399993896484,147.789993286133,3636000,147.789993286133
2016-11-09,146.100006103516,151.639999389648,145.100006103516,151.279998779297,8687800,151.279998779297
2016-11-10,152,156.610000610352,151.679992675781,156.059997558594,8142500,156.059997558594
2016-11-11,155.300003051758,157.279998779297,155.149993896484,156.919998168945,4514400,156.919998168945
2016-11-14,157.479995727539,158.160003662109,156.529998779297,157.929992675781,5520400,157.929992675781
2016-11-15,157.610000610352,157.820007324219,156.089996337891,157.460006713867,4780100,157.460006713867
2016-11-16,157.020004272461,157.589996337891,156.020004272461,157.080001831055,4468900,157.080001831055
2016-11-17,156.809997558594,158.639999389648,156.300003051758,158.389999389648,4169100,158.389999389648
2016-11-18,158.350006103516,158.479995727539,157.169998168945,157.75,3383300,157.75
2016-11-21,158.100006103516,158.710006713867,157.419998168945,158.710006713867,2847400,158.710006713867
2016-11-22,159.009994506836,159.089996337891,157.830001831055,158.660003662109,3143300,158.660003662109
2016-11-23,158.660003662109,159,157.279998779297,158.110000610352,3050700,158.110000610352
2016-11-25,158.630004882812,158.630004882812,157.600006103516,158.179992675781,1777200,158.179992675781
2016-11-28,157.899993896484,158.490005493164,156.889999389648,156.970001220703,4204300,156.970001220703
2016-11-29,157.509994506836,157.979995727539,156.820007324219,157.679992675781,2973300,157.679992675781
2016-11-30,158.419998168945,158.889999389648,157.419998168945,157.440002441406,5145600,157.440002441406
2016-12-01,157.580001831055,160.240005493164,157.509994506836,160.119995117188,4578600,160.119995117188
