Index,SYGEU.JO.Open,SYGEU.JO.High,SYGEU.JO.Low,SYGEU.JO.Close,SYGEU.JO.Volume,SYGEU.JO.Adjusted
2024-01-22,9390.18359375,9390.18359375,9390.18359375,9390.18359375,0,9388.72265625
2024-01-23,9252.2783203125,9252.2783203125,9252.2783203125,9252.2783203125,0,9250.8388671875
2024-01-24,9422.6416015625,9422.6416015625,9422.6416015625,9422.6416015625,0,9421.17578125
2024-01-25,9403.87109375,9403.87109375,9403.87109375,9403.87109375,0,9402.408203125
2024-01-26,9473.9755859375,9473.9755859375,9473.9755859375,9473.9755859375,0,9472.501953125
2024-01-29,9463.421875,9463.421875,9463.421875,9463.421875,0,9461.9501953125
2024-01-30,9558.7734375,9558.7734375,9558.7734375,9558.7734375,0,9557.2861328125
2024-01-31,9422.3232421875,9422.3232421875,9422.3232421875,9422.3232421875,0,9420.857421875
2024-02-01,9375.13671875,9375.13671875,9375.13671875,9375.13671875,0,9373.6787109375
2024-02-02,9533.666015625,9533.666015625,9533.666015625,9533.666015625,0,9532.1826171875
2024-02-05,9558.2158203125,9558.2158203125,9558.2158203125,9558.2158203125,0,9556.7294921875
2024-02-06,9544.8916015625,9544.8916015625,9544.8916015625,9544.8916015625,0,9543.4072265625
2024-02-07,9550.9072265625,9550.9072265625,9550.9072265625,9550.9072265625,0,9549.421875
2024-02-08,9651.5283203125,9651.5283203125,9651.5283203125,9651.5283203125,0,9650.02734375
2024-02-09,9724.40625,9724.40625,9724.40625,9724.40625,0,9722.892578125
2024-02-12,9616,9695,9603,9626,111222,9624.5029296875
2024-02-13,9641.7587890625,9641.7587890625,9641.7587890625,9641.7587890625,0,9640.2587890625
2024-02-14,9656.5595703125,9656.5595703125,9656.5595703125,9656.5595703125,0,9655.0576171875
2024-02-15,9713.142578125,9713.142578125,9713.142578125,9713.142578125,0,9711.630859375
2024-02-16,9720.5078125,9720.5078125,9720.5078125,9720.5078125,0,9718.9951171875
2024-02-19,9769.4833984375,9769.4833984375,9769.4833984375,9769.4833984375,0,9767.962890625
2024-02-20,9780.0634765625,9780.0634765625,9780.0634765625,9780.0634765625,0,9778.541015625
2024-02-21,9792.4072265625,9792.4072265625,9792.4072265625,9792.4072265625,0,9790.8828125
2024-02-22,10095.06640625,10095.06640625,10095.06640625,10095.06640625,0,10093.4951171875
2024-02-23,10212.9541015625,10212.9541015625,10212.9541015625,10212.9541015625,0,10211.365234375
2024-02-26,10125,10182,10083,10141,52466,10139.421875
2024-02-27,10140,10153,10029,10063,15965,10061.4345703125
2024-02-28,10100,10163,10082,10106,11784,10104.427734375
2024-02-29,10139,10170,10108,10145,39255,10143.421875
2024-03-01,10269,10647,10060,10093,32230,10091.4296875
2024-03-04,10106,10593,10048,10078,39257,10076.431640625
2024-03-05,10073,10126,10009,10045,37961,10043.4365234375
2024-03-06,10035,10074,9982,10028,35228,10026.439453125
2024-03-07,10050,10468,9972,10120,20556,10118.42578125
2024-03-08,10154,10323,10080,10138,57851,10136.4228515625
2024-03-11,10067,10091,10000,9967,12682,9965.44921875
2024-03-12,10094,10094,9940,10080,37090,10078.431640625
2024-03-13,10175,10228,10133,10146,24553,10144.4208984375
2024-03-14,10160,10210,10118,10159,10357,10157.4189453125
2024-03-15,10120,10311,10120,10159,8644,10157.4189453125
2024-03-18,10566,10566,10159,10254,22086,10252.4033203125
2024-03-19,10222,10274,10190,10217,8087,10215.41015625
2024-03-20,10268,10268,10172,10166,17822,10164.41796875
2024-03-22,10260,10341,10246,10273,16342,10271.400390625
2024-03-25,10324,10335,10233,10309,18929,10307.3955078125
2024-03-26,10339,10445,10339,10412,8059,10410.37890625
2024-03-27,10397,10433,10350,10378,121653,10376.384765625
2024-03-28,10433,10487,10357,10392,19046,10390.3818359375
2024-04-02,10355,10472,10146,10168,22772,10166.41796875
2024-04-03,10500,10500,10205,10239,13884,10237.4072265625
2024-04-04,10206,10342,10202,10311,209165,10309.39453125
2024-04-05,10202,10202,10052,10123,21871,10121.4248046875
2024-04-08,10153,10215,10109,10212,63659,10210.4111328125
2024-04-09,10100,10154,10033,10028,38794,10026.439453125
2024-04-10,10077,10150,9977,10109,55357,10107.4267578125
2024-04-11,10147,10149,9919,9974,23753,9972.4482421875
2024-04-12,10074,10079,9959,10000,12623,9998.4443359375
2024-04-15,10020,10219,10020,10128,18529,10126.423828125
2024-04-16,10044,10044,9935,9957,18316,9955.4501953125
2024-04-17,9996,10118,9976,10017,25888,10015.44140625
2024-04-18,10082,10100,10033,10109,13018,10107.4267578125
2024-04-19,10026,10145,10020,10081,24071,10079.431640625
2024-04-22,10117,10162,10038,10127,15956,10125.423828125
2024-04-23,10300,10341,10250,10292,7198,10290.3974609375
2024-04-24,10369,10411,10313,10340,29059,10338.390625
2024-04-25,10265,10292,10037,10121,21395,10119.4248046875
2024-04-26,10309,10622,10121,10167,17336,10165.41796875
2024-04-29,10185,10218,10037,10049,22451,10047.4365234375
2024-04-30,10096,10096,10008,10036,30824,10034.4384765625
2024-05-02,10010,10010,9802,9873,36245,9871.4638671875
2024-05-03,9859,9952,9842,9906,36892,9904.4580078125
2024-05-06,9915,9982,9900,9922,19533,9920.4560546875
2024-05-07,10054,10089,9976,10063,26503,10061.4345703125
2024-05-08,10182,10234,10142,10202,11804,10200.4130859375
2024-05-09,10175,10250,10100,10182,8011,10180.416015625
2024-05-10,10181,10296,10181,10250,16860,10248.404296875
2024-05-13,10224,10224,10134,10179,21339,10177.416015625
2024-05-14,10202,10294,10201,10266,29319,10264.4013671875
2024-05-15,10300,10308,10228,10296,29637,10294.3974609375
2024-05-16,10275,10311,10159,10197,43897,10195.4130859375
2024-05-17,10142,10190,10111,10152,6068,10150.419921875
2024-05-20,10131,10257,10127,10199,10417,10197.4130859375
2024-05-21,10121,10161,9995,10030,21461,10028.439453125
2024-05-22,10053,10120,10053,10092,7074,10090.4296875
2024-05-23,10255,10270,10199,10209,25732,10207.4111328125
2024-05-24,10190,10599,10133,10235,15650,10233.4072265625
2024-05-27,10210,10299,10201,10237,91349,10235.4072265625
2024-05-28,10327,10339,10195,10210,14526,10208.4111328125
2024-05-30,10161,10246,10153,10228,17015,10226.408203125
2024-05-31,10340,10424,10277,10325,52287,10323.392578125
2024-06-03,10516,10530,10320,10299,11776,10297.396484375
2024-06-04,10343,10348,10218,10285,32709,10283.3984375
2024-06-05,10386,10600,10355,10559,39418,10557.3564453125
2024-06-06,10647,10758,10606,10678,18800,10676.337890625
2024-06-07,10685,10685,10486,10542,69944,10540.359375
2024-06-10,10376,10384,10193,10296,35866,10294.3974609375
2024-06-11,10299,10300,10100,10157,14732,10155.419921875
2024-06-12,10145,10398,10131,10295,6924,10293.3974609375
2024-06-13,10240,10240,10051,10016,15253,10014.44140625
2024-06-14,10001,10030,9672,9691,60193,9689.4912109375
2024-06-18,9767,9808,9670,9774,219319,9772.478515625
2024-06-19,9700,9710,9619,9625,61536,9623.5029296875
2024-06-20,9674,9740,9662,9711,9770,9709.48828125
2024-06-21,9650,9662,9472,9606,201647,9604.505859375
2024-06-24,9700,9869,9679,9793,12012,9791.4755859375
