Index,VOO.Open,VOO.High,VOO.Low,VOO.Close,VOO.Volume,VOO.Adjusted
2016-07-21,199.070007324219,199.320007324219,197.970001220703,198.410003662109,4509800,170.700531005859
2016-07-22,198.619995117188,199.380004882812,198.300003051758,199.330001831055,1678900,171.492004394531
2016-07-25,199.100006103516,199.169998168945,198.169998168945,198.850006103516,1172600,171.079040527344
2016-07-26,198.699996948242,199.25,197.970001220703,198.839996337891,1405300,171.070449829102
2016-07-27,199.289993286133,199.339996337891,197.850006103516,198.710006713867,2120100,170.958618164062
2016-07-28,198.490005493164,199.210006713867,197.979995727539,198.929992675781,937200,171.147888183594
2016-07-29,198.630004882812,199.600006103516,198.320007324219,199.279998779297,1758600,171.449035644531
2016-08-01,199.330001831055,199.710006713867,198.580001831055,199.050003051758,2111500,171.251113891602
2016-08-02,198.789993286133,198.940002441406,196.880004882812,197.809997558594,4085800,170.18424987793
2016-08-03,197.740005493164,198.419998168945,197.399993896484,198.380004882812,2057500,170.674713134766
2016-08-04,198.5,198.899993896484,198.050003051758,198.570007324219,1384700,170.838150024414
2016-08-05,199.339996337891,200.220001220703,199.190002441406,200.169998168945,1818600,172.21467590332
2016-08-08,200.410003662109,200.509994506836,199.789993286133,200.070007324219,1441900,172.128677368164
2016-08-09,200.190002441406,200.729995727539,199.860000610352,200.199996948242,1821100,172.240493774414
2016-08-10,200.339996337891,200.399993896484,199.330001831055,199.690002441406,1222300,171.801727294922
2016-08-11,200.309997558594,200.889999389648,200,200.669998168945,1644700,172.644866943359
2016-08-12,200.320007324219,200.699996948242,200.039993286133,200.470001220703,1718400,172.472793579102
2016-08-15,200.889999389648,201.410003662109,200.850006103516,201.050003051758,1051100,172.971832275391
2016-08-16,200.610000610352,200.660003662109,200,200.009994506836,1731200,172.077072143555
2016-08-17,200.050003051758,200.529998779297,199.139999389648,200.339996337891,3157700,172.360946655273
2016-08-18,200.369995117188,200.860000610352,200.25,200.820007324219,5211200,172.773941040039
2016-08-19,200.339996337891,200.720001220703,199.809997558594,200.539993286133,1190800,172.532974243164
2016-08-22,200.300003051758,200.75,199.880004882812,200.520004272461,880300,172.51579284668
2016-08-23,201.179992675781,201.509994506836,200.860000610352,200.889999389648,1214400,172.83415222168
2016-08-24,200.779998779297,200.869995117188,199.460006713867,199.919998168945,1161300,171.999633789062
2016-08-25,199.479995727539,200.210006713867,199.330001831055,199.759994506836,1262600,171.861968994141
2016-08-26,199.960006713867,201.050003051758,198.440002441406,199.380004882812,2890600,171.535064697266
2016-08-29,199.529998779297,200.649993896484,199.490005493164,200.389999389648,1140700,172.40397644043
2016-08-30,200.279998779297,200.570007324219,199.449996948242,200.009994506836,1407400,172.077072143555
2016-08-31,199.699996948242,199.820007324219,198.649993896484,199.520004272461,2343900,171.655471801758
2016-09-01,199.5,199.789993286133,198.240005493164,199.479995727539,2196100,171.621078491211
2016-09-02,200.410003662109,200.830001831055,199.779998779297,200.369995117188,1555800,172.386779785156
2016-09-06,200.690002441406,201.039993286133,199.919998168945,201,1589600,172.928802490234
2016-09-07,200.820007324219,201.149993896484,200.320007324219,200.990005493164,1455400,172.920181274414
2016-09-08,200.619995117188,200.919998168945,200.190002441406,200.520004272461,2180400,172.51579284668
2016-09-09,199.080001831055,199.179992675781,195.669998168945,195.679992675781,3435600,168.35173034668
2016-09-12,194.880004882812,198.949996948242,194.800003051758,198.479995727539,2799900,170.760711669922
2016-09-13,196.25,196.509994506836,194.119995117188,194.779998779297,3365300,168.326263427734
2016-09-14,194.830001831055,196.119995117188,194.119995117188,194.660003662109,2967100,168.222610473633
2016-09-15,194.509994506836,197.070007324219,194.369995117188,196.660003662109,1874400,169.950973510742
2016-09-16,196.020004272461,196.190002441406,195.169998168945,195.889999389648,1774100,169.285568237305
2016-09-19,196.630004882812,197.279998779297,195.639999389648,195.949996948242,2061400,169.33740234375
2016-09-20,196.860000610352,197.029998779297,195.929992675781,195.970001220703,1294100,169.354690551758
2016-09-21,196.690002441406,198.339996337891,195.979995727539,198.169998168945,2238800,171.255874633789
2016-09-22,199.259994506836,199.710006713867,198.979995727539,199.360000610352,2215200,172.284286499023
2016-09-23,198.979995727539,199.110000610352,198.220001220703,198.289993286133,1413400,171.359619140625
2016-09-26,197.470001220703,197.600006103516,196.5,196.710006713867,2451600,169.994201660156
2016-09-27,196.529998779297,198.009994506836,196.160003662109,197.910003662109,1468000,171.031280517578
2016-09-28,198.179992675781,199.070007324219,197.130004882812,198.979995727539,1419900,171.95588684082
2016-09-29,198.710006713867,199.110000610352,196.539993286133,197.110000610352,2074600,170.339859008789
2016-09-30,198.009994506836,199.339996337891,197.75,198.690002441406,3147400,171.705291748047
2016-10-03,198.179992675781,198.350006103516,197.449996948242,198.059997558594,2136000,171.160888671875
2016-10-04,198.25,198.470001220703,196.479995727539,197.139999389648,2846600,170.365798950195
2016-10-05,197.770004272461,198.440002441406,197.720001220703,197.960006713867,1126700,171.074432373047
2016-10-06,197.740005493164,198.339996337891,197.160003662109,198.190002441406,1117400,171.273162841797
2016-10-07,198.419998168945,198.600006103516,196.649993896484,197.460006713867,1795100,170.642364501953
2016-10-10,197.460006713867,198.949996948242,197.460006713867,198.369995117188,1297400,171.4287109375
2016-10-11,198,198.070007324219,195.190002441406,195.960006713867,2643500,169.346054077148
2016-10-12,196.119995117188,196.740005493164,195.589996337891,196.210006713867,1458700,169.562133789062
2016-10-13,194.830001831055,196.110000610352,193.919998168945,195.580001831055,2407100,169.017684936523
2016-10-14,196.649993896484,197.119995117188,195.610000610352,195.630004882812,1218800,169.06086730957
2016-10-17,195.639999389648,195.929992675781,194.809997558594,195.050003051758,1323200,168.559631347656
2016-10-18,196.699996948242,196.759994506836,195.820007324219,196.199996948242,1263300,169.553466796875
2016-10-19,196.490005493164,197.080001831055,196.130004882812,196.740005493164,1041300,170.020126342773
2016-10-20,196.369995117188,196.970001220703,195.699996948242,196.419998168945,1309600,169.743576049805
2016-10-21,195.539993286133,196.570007324219,195.380004882812,196.470001220703,1376300,169.786773681641
2016-10-24,197.369995117188,197.649993896484,196.949996948242,197.270004272461,817000,170.478164672852
2016-10-25,197.130004882812,197.389999389648,196.479995727539,196.710006713867,1465300,169.994201660156
2016-10-26,195.759994506836,196.860000610352,195.529998779297,196.270004272461,1202300,169.613983154297
2016-10-27,197.039993286133,197.070007324219,195.649993896484,195.75,1635500,169.16455078125
2016-10-28,195.710006713867,196.399993896484,194.399993896484,195.130004882812,2632000,168.628768920898
2016-10-31,195.490005493164,195.740005493164,194.979995727539,195.130004882812,1816300,168.628768920898
2016-11-01,195.520004272461,195.539993286133,192.449996948242,193.770004272461,2456600,167.453506469727
2016-11-02,193.419998168945,193.809997558594,192.100006103516,192.490005493164,3395900,166.34733581543
2016-11-03,192.789993286133,193,191.389999389648,191.740005493164,1512200,165.699203491211
2016-11-04,191.800003051758,192.710006713867,191.320007324219,191.479995727539,2221300,165.474502563477
2016-11-07,194.169998168945,195.740005493164,194.009994506836,195.679992675781,2699100,169.104049682617
