Index,NET.Open,NET.High,NET.Low,NET.Close,NET.Volume,NET.Adjusted
2020-05-07,26.8099994659424,29.9799995422363,26.1700000762939,29.5200004577637,10519600,29.5200004577637
2020-05-08,26.7600002288818,27.1000003814697,25.0300006866455,26.2600002288818,12436000,26.2600002288818
2020-05-11,26.3799991607666,28.4200000762939,26.3799991607666,28.1200008392334,5762000,28.1200008392334
2020-05-12,28.1200008392334,30.2399997711182,27.6359996795654,28.7900009155273,10381900,28.7900009155273
2020-05-13,28.2900009155273,28.8999996185303,26.8199996948242,27.8700008392334,7820400,27.8700008392334
2020-05-14,27.3999996185303,28.0499992370605,27.2000007629395,28.0200004577637,3254700,28.0200004577637
2020-05-15,28.0200004577637,30.7800006866455,27.8199996948242,29.4899997711182,9398000,29.4899997711182
2020-05-18,28.2800006866455,29.7999992370605,27.7000007629395,28.0699996948242,4101000,28.0699996948242
2020-05-19,28.0799999237061,29.2250003814697,27.8999996185303,28.0400009155273,2294500,28.0400009155273
2020-05-20,28,28.1299991607666,26.5200004577637,27.5499992370605,5971700,27.5499992370605
2020-05-21,27.8199996948242,28.3500003814697,27.1700000762939,28.0400009155273,4725700,28.0400009155273
2020-05-22,28.0499992370605,28.8099994659424,27.5100002288818,28.2600002288818,3014600,28.2600002288818
2020-05-26,28.8400001525879,28.8400001525879,27.5100002288818,28.0900001525879,6291800,28.0900001525879
2020-05-27,27.8500003814697,28.2000007629395,25.8500003814697,28.1900005340576,6759200,28.1900005340576
2020-05-28,28.25,28.7999992370605,27.9200000762939,28.1000003814697,2458200,28.1000003814697
2020-05-29,28,29.2199993133545,27.9400005340576,29.0699996948242,4136300,29.0699996948242
2020-06-01,29.1399993896484,30.1900005340576,29.0100002288818,30.0499992370605,2772700,30.0499992370605
2020-06-02,30.1200008392334,30.5900001525879,28.9300003051758,30.2000007629395,3475400,30.2000007629395
2020-06-03,30.4799995422363,30.5,29.2800006866455,29.3799991607666,3597100,29.3799991607666
2020-06-04,29.0499992370605,29.1499996185303,28.1299991607666,28.4699993133545,3556900,28.4699993133545
