Index,SNOW.Open,SNOW.High,SNOW.Low,SNOW.Close,SNOW.Volume,SNOW.Adjusted
2024-09-12,112.599998474121,114.724998474121,111.349998474121,112.98999786377,4706100,112.98999786377
2024-09-13,113.25,115.040000915527,112.900001525879,113.669998168945,3235600,113.669998168945
2024-09-16,112.360000610352,113.84400177002,111.209999084473,112.839996337891,5435300,112.839996337891
2024-09-17,114.080001831055,114.389999389648,111.279998779297,111.629997253418,4539500,111.629997253418
2024-09-18,111.529998779297,112.610000610352,110.129997253418,110.779998779297,6484100,110.779998779297
2024-09-19,112.910003662109,115.01000213623,111.660003662109,114.019996643066,8518100,114.019996643066
2024-09-20,113.279998779297,113.584999084473,109.339996337891,110.269996643066,20222000,110.269996643066
2024-09-23,111.410003662109,113.940002441406,109.910003662109,113.26000213623,8335800,113.26000213623
2024-09-24,112.150001525879,112.940002441406,109.889999389648,112.5,9271900,112.5
2024-09-25,114.970001220703,116.620002746582,112.559997558594,112.620002746582,18611900,112.620002746582
2024-09-26,114.879997253418,115.275001525879,110.01000213623,112.48999786377,8431100,112.48999786377
2024-09-27,113.930000305176,115.38500213623,113.209999084473,113.919998168945,7123300,113.919998168945
2024-09-30,113.25,116.080001831055,112.900001525879,114.860000610352,7932100,114.860000610352
2024-10-01,113.76000213623,114.707000732422,109.709999084473,110.230003356934,7087800,110.230003356934
2024-10-02,109.959999084473,111.375,109.160003662109,109.650001525879,5396700,109.650001525879
2024-10-03,109,110.809997558594,108.709999084473,110.470001220703,4122400,110.470001220703
2024-10-04,112.01000213623,115.690002441406,111.149002075195,114.720001220703,6279100,114.720001220703
2024-10-07,114.419998168945,115.209999084473,113.059997558594,113.819999694824,4186400,113.819999694824
2024-10-08,113.769996643066,115.019996643066,113.129997253418,113.519996643066,3289900,113.519996643066
2024-10-09,114.319999694824,119.860000610352,113.849998474121,119.669998168945,8812300,119.669998168945
2024-10-10,119.480003356934,123.870002746582,119.150001525879,123.790000915527,8831500,123.790000915527
2024-10-11,123.569999694824,126.98999786377,122.889999389648,124.029998779297,6703200,124.029998779297
2024-10-14,125.419998168945,126.5,122.500999450684,123.160003662109,4002400,123.160003662109
2024-10-15,122.5,123.959999084473,121.330001831055,122.73999786377,3182600,122.73999786377
2024-10-16,123.5,123.5,118.819999694824,118.900001525879,4359100,118.900001525879
2024-10-17,119,119.699996948242,117.300003051758,119.029998779297,4023500,119.029998779297
2024-10-18,120,120.559997558594,118.220001220703,119.540000915527,2751700,119.540000915527
2024-10-21,119.290000915527,121.050003051758,117.730003356934,119.559997558594,2577100,119.559997558594
2024-10-22,116.900001525879,117.580001831055,114.129997253418,115.5,5650800,115.5
2024-10-23,115.75,116.410003662109,113.279998779297,113.610000610352,2925300,113.610000610352
2024-10-24,114.839996337891,116.330001831055,113.94100189209,114.919998168945,2817300,114.919998168945
2024-10-25,115.349998474121,117.069999694824,115.120002746582,116.040000915527,2718800,116.040000915527
2024-10-28,117.839996337891,119.199996948242,116.860000610352,117.330001831055,5238600,117.330001831055
2024-10-29,117.51000213623,119.589996337891,116.550003051758,118.389999389648,4154600,118.389999389648
2024-10-30,118.25,121.190002441406,118.019996643066,118.98999786377,4610100,118.98999786377
2024-10-31,117,117.830001831055,113.860000610352,114.819999694824,5284600,114.819999694824
2024-11-01,115.980003356934,117.059997558594,113.25,115.48999786377,4659500,115.48999786377
2024-11-04,115.51000213623,116.190002441406,113.230003356934,113.73999786377,3762500,113.73999786377
2024-11-05,114.26000213623,117.339996337891,113.650001525879,116.5,3774600,116.5
2024-11-06,120.430000305176,121.75,118.800003051758,121.419998168945,5455900,121.419998168945
2024-11-07,122.254997253418,124.959999084473,122.019996643066,123.540000915527,4596400,123.540000915527
2024-11-08,123,123,119.660003662109,120.889999389648,4914400,120.889999389648
2024-11-11,122.220001220703,123.709999084473,121.690002441406,123.5,3829700,123.5
2024-11-12,123,127.050003051758,123,125.459999084473,5754800,125.459999084473
2024-11-13,126.379997253418,134.589996337891,126.01000213623,130.729995727539,11352100,130.729995727539
2024-11-14,132.059997558594,132.255004882812,129.072998046875,129.270004272461,4959600,129.270004272461
2024-11-15,128.589996337891,128.949996948242,123.361000061035,125.959999084473,5737700,125.959999084473
2024-11-18,126.474998474121,127.529998779297,125,127.430000305176,4589900,127.430000305176
2024-11-19,127.550003051758,130.339996337891,126.360000610352,130.240005493164,4844100,130.240005493164
2024-11-20,131.259994506836,133.550003051758,127.550003051758,129.119995117188,15555700,129.119995117188
2024-11-21,161.259994506836,174.647994995117,161.160003662109,171.350006103516,55121600,171.350006103516
2024-11-22,175,178.699996948242,166.809997558594,167.440002441406,20283900,167.440002441406
2024-11-25,174.960006713867,177.990005493164,171.149993896484,171.419998168945,15276700,171.419998168945
2024-11-26,173.475006103516,176.800003051758,170.910003662109,171.279998779297,7669600,171.279998779297
2024-11-27,172.389999389648,173.929992675781,167.380004882812,173.699996948242,6980300,173.699996948242
2024-11-29,174.889999389648,178.369995117188,173.169998168945,174.800003051758,4429200,174.800003051758
2024-12-02,175.029998779297,177.649002075195,171.300003051758,172.419998168945,5832100,172.419998168945
2024-12-03,171,176.070007324219,170.589996337891,175.940002441406,5301500,175.940002441406
2024-12-04,180,186.820007324219,178.589996337891,186.509994506836,13585600,186.509994506836
2024-12-05,186.339996337891,186.550003051758,182.300003051758,183.059997558594,6668300,183.059997558594
2024-12-06,186.009994506836,186.899993896484,181.369995117188,183.639999389648,4988300,183.639999389648
2024-12-09,183.199996948242,185.399993896484,178.789993286133,180.759994506836,6336100,180.759994506836
2024-12-10,179,180.899993896484,169.350006103516,171.550003051758,8609600,171.550003051758
2024-12-11,173.460006713867,176.300003051758,170.300003051758,171.960006713867,5475500,171.960006713867
2024-12-12,169.600006103516,172.410003662109,169.080993652344,170,4404100,170
2024-12-13,169.520004272461,170.729995727539,165.729995727539,167.669998168945,5516900,167.669998168945
2024-12-16,167.660003662109,173.399993896484,167.220001220703,172.470001220703,6559300,172.470001220703
2024-12-17,171,172.649993896484,169.244003295898,170.809997558594,5162400,170.809997558594
2024-12-18,170.429992675781,170.5,160.759994506836,162.589996337891,5159300,162.589996337891
2024-12-19,164.5,165.751007080078,160.649993896484,164.210006713867,5792300,164.210006713867
2024-12-20,162.070007324219,168.940002441406,161.550003051758,166.289993286133,5304400,166.289993286133
2024-12-23,165.309997558594,166.410003662109,160.860000610352,161.440002441406,5712000,161.440002441406
2024-12-24,161.800003051758,163.690002441406,161.410003662109,163.059997558594,1754300,163.059997558594
2024-12-26,162.639999389648,164.929992675781,161.315002441406,163.479995727539,2688700,163.479995727539
2024-12-27,162.649993896484,162.759994506836,157.25700378418,158.649993896484,4040000,158.649993896484
2024-12-30,155.360000610352,156.684005737305,153.119995117188,154.970001220703,3853700,154.970001220703
2024-12-31,155.949996948242,156.389999389648,153.380004882812,154.410003662109,2977400,154.410003662109
2025-01-02,157,160.339996337891,154.960006713867,157.509994506836,3400800,157.509994506836
2025-01-03,158.800003051758,162.675003051758,158.139999389648,162.220001220703,3408900,162.220001220703
2025-01-06,165.320007324219,166.600006103516,162.419998168945,163.080001831055,4130100,163.080001831055
2025-01-07,167.399993896484,167.912994384766,157.039993286133,158.839996337891,6588500,158.839996337891
2025-01-08,158.300003051758,162.580001831055,156.699996948242,161.029998779297,5407800,161.029998779297
2025-01-10,161.380004882812,165.449996948242,160.630004882812,162.460006713867,5902700,162.460006713867
2025-01-13,160.270004272461,164.309997558594,158.600006103516,162.429992675781,4399600,162.429992675781
2025-01-14,165.009994506836,170.199996948242,162.479995727539,163.410003662109,6325900,163.410003662109
2025-01-15,168.25,170.419998168945,165.589996337891,165.710006713867,7010700,165.710006713867
2025-01-16,166.520004272461,170.669998168945,164.391006469727,167.639999389648,4432700,167.639999389648
2025-01-17,172.509994506836,172.990005493164,169.25,170.789993286133,4162200,170.789993286133
2025-01-21,172.75,176.179992675781,172.350006103516,173.529998779297,5279100,173.529998779297
2025-01-22,175.649993896484,177.600006103516,173.199996948242,177.490005493164,5039900,177.490005493164
2025-01-23,175.100006103516,177.800003051758,174.029998779297,174.940002441406,3746300,174.940002441406
2025-01-24,176.880004882812,176.880004882812,172.889999389648,174.119995117188,2945800,174.119995117188
2025-01-27,171.610000610352,181.770004272461,170.100006103516,175.520004272461,7398800,175.520004272461
2025-01-28,179.029998779297,188.429992675781,177.050003051758,188.020004272461,8558200,188.020004272461
2025-01-29,184.5,185,181.25,182.880004882812,5219500,182.880004882812
2025-01-30,179.309997558594,180.860000610352,176.220001220703,179.289993286133,6428300,179.289993286133
2025-01-31,183.300003051758,185.869995117188,180.871994018555,181.509994506836,4717400,181.509994506836
2025-02-03,176.169998168945,184.5,175.25,182.539993286133,4388700,182.539993286133
2025-02-04,186.5,190.919998168945,184.410003662109,189.110000610352,6903800,189.110000610352
