Index,COIN.Open,COIN.High,COIN.Low,COIN.Close,COIN.Volume,COIN.Adjusted
2022-07-22,76.1999969482422,76.5699996948242,69.0899963378906,70.8199996948242,12013300,70.8199996948242
2022-07-25,68.9300003051758,69.9800033569336,66.3000030517578,67.0699996948242,8797600,67.0699996948242
2022-07-26,61.689998626709,62.8899993896484,52.6300010681152,52.9300003051758,26875800,52.9300003051758
2022-07-27,54.8699989318848,60.6100006103516,53.1199989318848,58.8300018310547,18230200,58.8300018310547
2022-07-28,58.2400016784668,62.9500007629395,55.5900001525879,62.25,13674800,62.25
2022-07-29,60.1399993896484,64.2300033569336,59.7700004577637,62.9599990844727,9113800,62.9599990844727
2022-08-01,61.189998626709,63.6199989318848,59.4199981689453,62.7000007629395,7361300,62.7000007629395
2022-08-02,60.9099998474121,69.5899963378906,60.7999992370605,67.2300033569336,12142100,67.2300033569336
2022-08-03,69.0500030517578,82.25,67.6100006103516,80.8099975585938,24784200,80.8099975585938
2022-08-04,106.099998474121,116.300003051758,86.7900009155273,88.9000015258789,54342800,88.9000015258789
2022-08-05,86.5800018310547,98.870002746582,86.5199966430664,93.0500030517578,24865700,93.0500030517578
2022-08-08,97.8399963378906,103.550003051758,93.8099975585938,98.0199966430664,18878700,98.0199966430664
2022-08-09,93.8899993896484,93.8899993896484,85.5999984741211,87.6800003051758,17411400,87.6800003051758
2022-08-10,89.9800033569336,95,88,94.1399993896484,23818200,94.1399993896484
2022-08-11,97.25,98.6999969482422,82.3099975585938,84,23247300,84
2022-08-12,85.2300033569336,92.4800033569336,83.2900009155273,90.4899978637695,13755200,90.4899978637695
2022-08-15,89.1100006103516,93.6800003051758,88.5899963378906,91.9700012207031,11001900,91.9700012207031
2022-08-16,90.5500030517578,95.5,84.2399978637695,90.3899993896484,17034400,90.3899993896484
2022-08-17,87.5100021362305,88.6399993896484,84.7699966430664,85.4400024414062,10697900,85.4400024414062
2022-08-18,86.3300018310547,86.3600006103516,81.4199981689453,83.4700012207031,7923300,83.4700012207031
2022-08-19,76,78.25,74.0100021362305,74.0599975585938,13727900,74.0599975585938
2022-08-22,70.9100036621094,74.9400024414062,70.2900009155273,71.4700012207031,9082400,71.4700012207031
2022-08-23,71.9499969482422,76.4100036621094,70.5999984741211,71.1800003051758,9598300,71.1800003051758
2022-08-24,71.879997253418,74.3199996948242,70.7099990844727,71.4800033569336,6675500,71.4800033569336
2022-08-25,71.8399963378906,72.4499969482422,68.5199966430664,71.370002746582,8563500,71.370002746582
2022-08-26,71.7099990844727,71.8000030517578,65.3399963378906,66.7399978637695,9797300,66.7399978637695
2022-08-29,65.5100021362305,69.4000015258789,65.4599990844727,66.3399963378906,7944100,66.3399963378906
2022-08-30,67.9700012207031,69.4499969482422,64.629997253418,67.0299987792969,8293500,67.0299987792969
2022-08-31,68.6999969482422,70.379997253418,66.6600036621094,66.8000030517578,6707900,66.8000030517578
2022-09-01,65.5500030517578,65.9899978637695,61.9099998474121,65.5299987792969,8046600,65.5299987792969
2022-09-02,67.7099990844727,68.1399993896484,63.8199996948242,65.2600021362305,6392800,65.2600021362305
2022-09-06,65.5599975585938,66.879997253418,62.5999984741211,62.7799987792969,7478100,62.7799987792969
2022-09-07,62,68.7699966430664,61.8300018310547,68.25,8408400,68.25
2022-09-08,66.3600006103516,73.3300018310547,65.5,73.0800018310547,9241500,73.0800018310547
2022-09-09,78.1999969482422,81.0400009155273,75.1500015258789,80.870002746582,15357100,80.870002746582
